414,5,4.306
414,2,1.7236
360,4,3.861
360,4,3.9663
722,3,3.006
722,4,3.8607
750,2,1.9685
750,4,3.8012
177,4,2.7675
177,1,0.43368
462,5,3.9229
462,1,1.387
421,4,3.2419
421,5,3.8197
610,4,2.7059
610,4,2.2704
669,3,2.5018
669,5,2.2078
712,3,2.1678
712,5,4.6758
261,5,3.1946
261,4,4.0172
641,4,3.9846
641,4,3.6393
618,3,3.4484
618,3,2.4349
154,4,4.0048
154,2,1.6505
113,5,2.602
113,5,2.6365
470,4,3.2402
470,3,2.1475
906,4,2.2001
906,4,3.9971
321,4,2.884
321,4,3.1299
552,3,3.0562
552,2,2.3753
212,1,1.3328
212,4,3.2398
