414,5,4.2285
414,2,1.6419
360,4,3.7741
360,4,3.9579
722,3,2.966
722,4,3.8347
750,2,1.8885
750,4,3.7581
177,4,2.6764
177,1,0.4155
462,5,3.8965
462,1,1.3724
421,4,3.2283
421,5,3.7328
610,4,2.6479
610,4,2.2154
669,3,1.6873
669,5,2.1225
712,3,2.1056
712,5,4.6407
261,5,3.1433
261,4,3.977
641,4,3.977
641,4,3.6153
618,3,3.4361
618,3,2.4165
154,4,3.9808
154,2,1.6088
113,5,2.597
113,5,2.5462
470,4,2.1457
470,3,3.0984
906,4,2.1512
906,4,3.9633
321,4,2.794
321,4,2.093
552,3,2.0451
552,2,2.2973
212,1,1.2938
212,4,3.2156
