414,5,4.2074
414,2,3.1993
360,4,4.2859
360,4,4.1439
722,3,3.4708
722,4,4.0119
750,2,1.5126
750,4,4.2319
177,4,4.9132
177,1,3.2118
462,5,4.1645
462,1,0.19613
421,4,3.1303
421,5,4.1583
610,4,3.2077
610,4,3.1953
669,3,2.812
669,5,3.9817
712,3,2.1197
712,5,4.2017
261,5,4.6095
261,4,4.984
641,4,3.1919
641,4,2.1997
618,3,2.1553
618,3,2.1806
154,4,4.8932
154,2,2.9887
113,5,4.1193
113,5,4.1438
470,4,4.8907
470,3,3.8258
906,4,2.1984
906,4,2.1856
321,4,3.1478
321,4,3.2111
552,3,3.8195
552,2,2.96
212,1,0.95426
212,4,4.9127
