414,5,4.5064
414,2,2.6632
360,4,2.4477
360,4,4.027
722,3,3.6168
722,4,3.4432
750,2,4.073
750,4,4.4857
177,4,3.2296
177,1,3.2027
462,5,3.1232
462,1,1.7369
421,4,4.4187
421,5,4.6142
610,4,3.1067
610,4,3.8814
669,3,1.9468
669,5,3.4122
712,3,2.1148
712,5,3.8309
261,5,4.8032
261,4,3.4077
641,4,3.9605
641,4,3.8552
618,3,4.3611
618,3,3.6192
154,4,3.8593
154,2,4.1539
113,5,3.7589
113,5,3.8192
470,4,3.5216
470,3,3.5769
906,4,4.0362
906,4,4.4837
321,4,3.8445
321,4,3.773
552,3,3.1598
552,2,2.3259
212,1,1.0168
212,4,4.1064
