414,5,4.5989
414,2,2.4291
360,4,2.0587
360,4,2.8728
722,3,2.4963
722,4,4.893
750,2,2.2392
750,4,3.5389
177,4,3.5326
177,1,1.0357
462,5,4.4849
462,1,2.0239
421,4,3.3892
421,5,4.4841
610,4,3.6721
610,4,3.558
669,3,2.8364
669,5,3.945
712,3,2.6647
712,5,3.5307
261,5,2.9407
261,4,2.8457
641,4,3.5193
641,4,2.0954
618,3,2.3976
618,3,1.9422
154,4,3.9245
154,2,2.0748
113,5,3.5044
113,5,2.0639
470,4,3.9245
470,3,2.93
906,4,3.4389
906,4,2.6933
321,4,3.8179
321,4,3.5245
552,3,3.1777
552,2,2.1935
212,1,1.0134
212,4,3.8449
